condition2,trialNo,target,condition1,mRating_irrational,mRating_improbable,mRating_immoral,mRating_abnormal,mRating_goodness,poss_resp_sp,poss_RT_sp,poss_resp_rf,poss_RT_rf,could_resp_sp,could_RT_sp,could_resp_rf,could_RT_rf,may_resp_sp,may_RT_sp,may_resp_rf,may_RT_rf,might_resp_sp,might_RT_sp,might_resp_rf,might_RT_rf,ought_resp_sp,ought_RT_sp,ought_resp_rf,ought_RT_rf,should_resp_sp,should_RT_sp,should_resp_rf,should_RT_rf
25,491,Send everyone home early,irrational,1.88,1.565217391304348,2.625,1.8181818181818181,,0.6818181818181818,999.75,0.6,2528.8,0.4772727272727273,1110.159090909091,0.3125,2212.6875,0.3333333333333333,1099.888888888889,0.3333333333333333,2374.1111111111113,0.2708333333333333,1051.2708333333333,0.29411764705882354,2421.235294117647,0.16666666666666666,1009.8333333333334,0.2,1996.3,0.37209302325581395,1071.7209302325582,0.16666666666666666,2641.6111111111113
25,492,Explain the history of cake,irrational,1.56,1.2608695652173914,3.107142857142857,1.9090909090909092,,0.5652173913043478,1043.5217391304348,0.68,2507.92,0.3333333333333333,1112.0416666666667,0.5,3168.9166666666665,0.26666666666666666,1056.2888888888888,0.30434782608695654,2275.9565217391305,0.2,1085.0222222222221,0.08333333333333333,2073.9166666666665,0.3111111111111111,1093.8444444444444,0.16666666666666666,2006.1666666666667,0.3181818181818182,1067.6818181818182,0.3888888888888889,2084.5555555555557
26,493,Run home to retrieve the flash drive,ordinary,4.36,4.217391304347826,4.4324324324324325,4.545454545454546,,0.8666666666666667,1036.911111111111,0.875,2250.375,0.9387755102040817,1099.204081632653,0.8181818181818182,2718.3636363636365,0.8604651162790697,1057.093023255814,0.9230769230769231,2242.6153846153848,0.8333333333333334,1068.875,0.9,2184.8,0.717391304347826,1052.6739130434783,0.7777777777777778,2378.277777777778,0.7441860465116279,1085.1627906976744,0.9,2317.9
26,494,Explain his mistake to the CEO,ordinary,4.92,4.6521739130434785,4.837837837837838,4.757575757575758,,0.9777777777777777,923.4666666666667,1.0,2747.3333333333335,0.9361702127659575,969.5106382978723,0.875,2189.0,0.9333333333333333,981.4,0.8571428571428571,2234.6428571428573,0.8571428571428571,1037.3469387755101,1.0,2031.8333333333333,0.8333333333333334,1002.9583333333334,0.875,2258.125,0.9565217391304348,981.8260869565217,0.875,4655.625
26,495,Ask to postpone the presentation,ordinary,4.32,4.3478260869565215,4.277777777777778,4.363636363636363,,0.8478260869565217,948.0,0.9090909090909091,2385.0,0.8666666666666667,1075.888888888889,1.0,3225.4,0.8913043478260869,1053.3478260869565,0.8333333333333334,2275.6666666666665,0.8333333333333334,984.4375,1.0,1942.625,0.8,1039.4222222222222,0.8666666666666667,2061.6666666666665,0.8372093023255814,1014.3953488372093,0.9090909090909091,2345.6363636363635
26,496,Attempt the presentation without slides,ordinary,3.76,3.869565217391304,4.297297297297297,3.878787878787879,,0.8444444444444444,1109.8444444444444,0.9629629629629629,2125.6666666666665,0.8372093023255814,1194.3488372093022,0.8947368421052632,2849.0,0.8095238095238095,1165.6190476190477,0.7,2561.75,0.8292682926829268,1137.9024390243903,0.7777777777777778,2202.3888888888887,0.725,1150.625,0.7142857142857143,2585.285714285714,0.6923076923076923,1164.128205128205,0.967741935483871,2461.935483870968
26,497,Make the wind do the presentation,impossible,1.0952380952380953,1.0,2.3846153846153846,1.15625,,0.18181818181818182,1059.3181818181818,0.0,2188.875,0.044444444444444446,1201.2444444444445,0.0,3067.9285714285716,0.12195121951219512,1128.560975609756,0.0,2270.095238095238,0.11363636363636363,1094.5,0.0,1998.4,0.13953488372093023,1071.4418604651162,0.05263157894736842,2131.4736842105262,0.175,1082.975,0.22727272727272727,2355.7727272727275
26,498,Teleport home to retrieve the flash drive,impossible,1.0,1.1818181818181819,3.9,1.03125,,0.041666666666666664,934.4375,0.25,2495.9166666666665,0.08695652173913043,1060.1521739130435,0.1111111111111111,7483.333333333333,0.061224489795918366,1053.6734693877552,0.2222222222222222,4497.777777777777,0.08695652173913043,1052.5869565217392,0.14285714285714285,2329.8571428571427,0.125,993.8958333333334,0.0,2736.25,0.13636363636363635,1012.7954545454545,0.07692307692307693,2382.923076923077
26,499,Return to yesterday to remind himself,impossible,1.2,1.0454545454545454,3.75,1.09375,,0.17391304347826086,1108.9347826086957,0.0,2245.7916666666665,0.23255813953488372,1171.2093023255813,0.0625,2751.8125,0.18604651162790697,1192.2790697674418,0.047619047619047616,2583.5238095238096,0.0975609756097561,1139.878048780488,0.0,2054.5789473684213,0.125,1100.925,0.045454545454545456,1940.9545454545455,0.2702702702702703,1178.4324324324325,0.14814814814814814,2598.4444444444443
26,500,Project the slides with his mind,impossible,1.0476190476190477,1.0454545454545454,3.6923076923076925,1.40625,,0.17391304347826086,1027.804347826087,0.12,2142.2,0.18604651162790697,1178.4418604651162,0.15384615384615385,2206.153846153846,0.25,1143.3,0.0,1989.4117647058824,0.21739130434782608,1118.5652173913043,0.07142857142857142,1876.2142857142858,0.17777777777777778,1120.5333333333333,0.058823529411764705,2163.823529411765,0.2857142857142857,1127.8809523809523,0.1724137931034483,2665.0344827586205
26,501,Pull the fire alarm to delay,immoral,1.64,1.3478260869565217,1.4594594594594594,1.4545454545454546,,0.6086956521739131,969.4782608695652,0.6111111111111112,2249.277777777778,0.5652173913043478,1078.4565217391305,0.6363636363636364,2372.6363636363635,0.37777777777777777,992.1777777777778,0.3,2632.2,0.24489795918367346,1037.408163265306,0.25,1956.5,0.0425531914893617,947.2978723404256,0.1111111111111111,2713.5555555555557,0.06666666666666667,935.2666666666667,0.0,2507.0
26,502,Blame his coworker for the mistake,immoral,1.64,2.130434782608696,1.1111111111111112,2.090909090909091,,0.6521739130434783,1043.9347826086957,0.6875,3259.125,0.6122448979591837,1107.5510204081634,0.5,2728.3,0.5111111111111111,1103.8444444444444,0.46153846153846156,2384.3076923076924,0.4489795918367347,1070.7551020408164,0.3333333333333333,2289.3333333333335,0.07142857142857142,955.1904761904761,0.0,2285.6666666666665,0.043478260869565216,975.695652173913,0.13333333333333333,1963.2
26,503,Poison the CEO to stall,immoral,1.0,1.0,1.1081081081081081,1.0303030303030303,,0.3111111111111111,889.9777777777778,0.6666666666666666,2563.190476190476,0.21739130434782608,1051.9782608695652,0.5,4042.4285714285716,0.125,984.0625,0.23076923076923078,2182.846153846154,0.022222222222222223,979.7555555555556,0.25,2554.0,0.06382978723404255,892.8510638297872,0.0,1837.6666666666667,0.044444444444444446,840.9333333333333,0.16666666666666666,2590.0
26,504,Fake an injury to leave the meeting,immoral,2.08,2.0434782608695654,1.5945945945945945,2.1818181818181817,,0.574468085106383,964.7234042553191,0.7647058823529411,2709.8823529411766,0.5,1042.5681818181818,0.6923076923076923,4306.846153846154,0.3958333333333333,1043.5833333333333,0.5294117647058824,2639.176470588235,0.3829787234042553,1012.5106382978723,0.5,2108.0,0.0851063829787234,944.7446808510638,0.2727272727272727,2734.5454545454545,0.022222222222222223,946.7777777777778,0.15384615384615385,2944.5384615384614
26,505,Convince the CEO his presentation is tomorrow,improbable,2.0,1.7826086956521738,2.4166666666666665,2.212121212121212,,0.8913043478260869,1173.695652173913,0.7272727272727273,2848.060606060606,0.775,1172.975,0.3181818181818182,3064.5454545454545,0.7727272727272727,1175.3863636363637,0.32142857142857145,2555.5714285714284,0.8048780487804879,1235.121951219512,0.2857142857142857,2264.3571428571427,0.5853658536585366,1242.2439024390244,0.21428571428571427,2142.8571428571427,0.5609756097560976,1232.0731707317073,0.2564102564102564,2331.7179487179487
26,506,Recreate all of the slides quickly,improbable,3.24,2.3043478260869565,4.5,3.1818181818181817,,0.7083333333333334,1120.4375,0.6451612903225806,2753.3870967741937,0.5476190476190477,1172.047619047619,0.7391304347826086,2246.3478260869565,0.4666666666666667,1161.3555555555556,0.6551724137931034,2514.7586206896553,0.5555555555555556,1218.7555555555555,0.48,2337.8,0.391304347826087,1163.8478260869565,0.30434782608695654,2980.3478260869565,0.6046511627906976,1061.4883720930231,0.7692307692307693,2650.0
26,507,Find a random computer with the slides on it,improbable,1.5714285714285714,1.434782608695652,3.5714285714285716,1.46875,,0.5609756097560976,1170.5365853658536,0.41025641025641024,3032.128205128205,0.28205128205128205,1220.3076923076924,0.3333333333333333,3297.703703703704,0.3333333333333333,1182.8974358974358,0.06060606060606061,2559.7272727272725,0.23076923076923078,1208.948717948718,0.12903225806451613,2202.451612903226,0.21052631578947367,1170.5263157894738,0.2413793103448276,2463.5862068965516,0.43902439024390244,1122.560975609756,0.22857142857142856,2896.6857142857143
26,508,Find out everyone gets the day off,improbable,1.9545454545454546,1.434782608695652,3.5454545454545454,1.4545454545454546,,0.40476190476190477,1133.3095238095239,0.3939393939393939,3153.4545454545455,0.34210526315789475,1219.8947368421052,0.45454545454545453,2424.4545454545455,0.2,1148.675,0.32,2536.92,0.11904761904761904,1191.952380952381,0.0,1980.76,0.11627906976744186,1113.1162790697674,0.25,2155.9166666666665,0.15384615384615385,1131.4871794871794,0.28,2569.48
26,509,Apologize by giving the CEO his necktie,irrational,1.4166666666666667,1.391304347826087,3.3225806451612905,1.303030303030303,,0.8,1039.5555555555557,0.42857142857142855,2727.4,0.75,1163.7,0.39285714285714285,2868.9285714285716,0.5581395348837209,1141.8139534883721,0.2857142857142857,2680.6071428571427,0.47368421052631576,1152.5263157894738,0.08,2321.8,0.38461538461538464,1132.5897435897436,0.0,2222.6296296296296,0.6341463414634146,1124.0487804878048,0.17142857142857143,2666.942857142857
26,510,Whistle the tune to Hot Cross Buns,irrational,1.25,1.0952380952380953,2.782608695652174,1.2727272727272727,,0.34782608695652173,1017.3478260869565,0.5714285714285714,2500.214285714286,0.28888888888888886,1157.4,0.5,2673.4,0.15555555555555556,1069.5777777777778,0.5,2452.7,0.08695652173913043,1056.0,0.0,1923.7,0.020833333333333332,993.1458333333334,0.0,1739.1818181818182,0.06976744186046512,998.8139534883721,0.42105263157894735,2801.7894736842104
